District,2006 07,2007 08,2008 09,2009 10,2010 11,2011 12,2012 13,2013 14,2014 15,2015 16,2016 17
Coventry School District,598625,863543,1256370,1514014,1429970,1906226,1621284,1486328,1243137,1216341,1465903
Cromwell School District,483098,925624,756104,661545,639469,667520,763521,1025171,1752222,1789663,2236862
Danbury School District,1675027,2387096,2230772,2226093,2881395,2846464,2605490,2620995,3164224,3167458,2921642
Darien School District,981038,1274102,1646948,1275498,2523206,3191330,3308444,4422887,5345658,6324408,6693541
Deep River School District,6466,93489,127405,358128,401321,343236,191944,301163,330718,319019,338626
Derby School District,1208073,1301714,1558886,1678264,1642934,1743634,1558665,1403245,1471695,1389558,1770580
East Granby School District,343309,382098,332102,364378,292355,336273,359304,518091,1009234,878094,1187121
East Haddam School District,853121,1364269,1342367,1325906,1149840,1254466,1229075,1148085,1273053,974352,798774
East Hampton School District,1415503,1298458,779363,838474,778102,654552,656604,999955,796114,973742,989922
East Hartford School District,2612508,2343388,2886735,2652501,3163874,2982967,3259944,3656634,3953303,4122756,4052768
East Haven School District,3830367,3755971,4999367,4693703,4342866,4642687,4376641,4736581,3649392,3815556,4208391
East Lyme School District,1896709,2383813,2055000,2275252,1815991,1208092,1327753,1121078,915388,531900,693485
East Windsor School District,1425342,1320930,1399429,1129911,1133055,1254299,925057,784676,1537769,1271059,1384970
Eastford School District,273171,157288,149285,105259,94454,88477,133593,67051,102474,166904,123376
Easton School District,250206,269831,289375,175247,148650,353146,251891,275077,278720,457786,156669
Ellington School District,629552,1095634,978563,813389,1047884,999173,1166159,1113612,1088086,931418,1077152
Enfield School District,1516774,1691319,1528119,1984464,2158494,1828685,2784926,2813244,2896184,3178337,3610842
Essex School District,9466,6444,42080,56095,47108,48926,206752,247350,276089,302053,333973
Fairfield School District,2326398,2883043,3452246,4301143,4550597,4186245,5047446,6115764,6533537,6376055,7196312
Farmington School District,1541746,2310157,2033625,1720646,2194800,2040595,2308547,2012210,1969245,2356499,2024099
Franklin School District,304621,233401,300707,318709,359827,259930,330407,393228,218683,196978,181889
Glastonbury School District,3787716,3626158,3934662,3545377,4275114,3640649,3630684,3157904,3678951,3458868,3646800
Granby School District,433751,485855,644869,740245,632460,753803,777717,977225,1186617,1123843,1031719
Greenwich School District,3403123,3002250,3192628,3635235,3772468,4490011,4035698,4732224,4742011,4383269,4973388
Griswold School District,611980,529757,489609,601538,676455,839761,1038009,1369859,938189,1169124,1279167
Groton School District,2543728,2329622,2436963,2608588,1994672,2442018,2947166,3906928,3787457,4416397,4066450
Guilford School District,1534435,2235830,2476293,2404393,2643292,2995070,3627364,3570099,3595417,3776094,3829786
Hamden School District,6678436,8126730,7811204,9021210,9485591,8386808,6847489,8633419,8912333,9687878,10686516
Hampton School District,0,0,0,0,0,11731,9137,0,0,0,0
Hartford School District,19133598,22768320,24203684,25772699,31286157,32658130,38542359,44728079,48054177,49985816,56599520
Hartland School District,152588,153167,227439,201495,80393,121091,154921,235618,351039,451513,324138
Hebron School District,110608,92094,26022,67787,54330,34180,121033,85733,163577,84334,72247
Kent School District,0,69468,158236,191462,71869,182227,187885,182288,0,0,0
Killingly School District,1854292,2115670,2651693,3260012,3500100,3314798,3874547,5502012,5731431,6304534,6380579
